"REF_DATE","GEO","DGUID","Age (15A)","Gender (3)","Statistics (3)","Main mode of commuting (11A)","Commuting destination (5)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Central Kootenay","2021A00035903","15 to 24 years","Total - Gender","Count","Driver (only worker in vehicle)","Commute to a different census subdivision (CSD) within census division (CD) of residence","","0","units","0","","4591.2.1.1.3.3","545","","","","0"
"2021","Central Kootenay","2021A00035903","15 to 24 years","Total - Gender","Count","Driver (only worker in vehicle)","Commute to a different census subdivision (CSD) and census division (CD) within province or territory of residence","","0","units","0","","4591.2.1.1.3.4","35","","","","0"
"2021","Central Kootenay","2021A00035903","15 to 24 years","Total - Gender","Count","Driver (only worker in vehicle)","Commute to a different province or territory","","0","units","0","","4591.2.1.1.3.5","20","","","","0"
"2021","Central Kootenay","2021A00035903","15 to 24 years","Total - Gender","Count","Passenger (only worker in vehicle)","Total - Commuting destination","","0","units","0","","4591.2.1.1.4.1","240","","","","0"
"2021","Central Kootenay","2021A00035903","15 to 24 years","Total - Gender","Count","Passenger (only worker in vehicle)","Commute within census subdivision (CSD) of residence","","0","units","0","","4591.2.1.1.4.2","150","","","","0"
"2021","Central Kootenay","2021A00035903","15 to 24 years","Total - Gender","Count","Passenger (only worker in vehicle)","Commute to a different census subdivision (CSD) within census division (CD) of residence","","0","units","0","","4591.2.1.1.4.3","85","","","","0"
"2021","Central Kootenay","2021A00035903","15 to 24 years","Total - Gender","Count","2 or more persons shared the ride to work","Total - Commuting destination","","0","units","0","","4591.2.1.1.5.1","265","","","","0"
"2021","Central Kootenay","2021A00035903","15 to 24 years","Total - Gender","Count","2 or more persons shared the ride to work","Commute within census subdivision (CSD) of residence","","0","units","0","","4591.2.1.1.5.2","70","","","","0"
"2021","Central Kootenay","2021A00035903","15 to 24 years","Total - Gender","Count","2 or more persons shared the ride to work","Commute to a different census subdivision (CSD) within census division (CD) of residence","","0","units","0","","4591.2.1.1.5.3","155","","","","0"
"2021","Central Kootenay","2021A00035903","15 to 24 years","Total - Gender","Count","2 or more persons shared the ride to work","Commute to a different census subdivision (CSD) and census division (CD) within province or territory of residence","","0","units","0","","4591.2.1.1.5.4","40","","","","0"
"2021","Central Kootenay","2021A00035903","15 to 24 years","Total - Gender","Count","Driver with 1 or more workers","Total - Commuting destination","","0","units","0","","4591.2.1.1.6.1","60","","","","0"
"2021","Central Kootenay","2021A00035903","15 to 24 years","Total - Gender","Count","Driver with 1 or more workers","Commute within census subdivision (CSD) of residence","","0","units","0","","4591.2.1.1.6.2","20","","","","0"
"2021","Central Kootenay","2021A00035903","15 to 24 years","Total - Gender","Count","Driver with 1 or more workers","Commute to a different census subdivision (CSD) within census division (CD) of residence","","0","units","0","","4591.2.1.1.6.3","25","","","","0"
"2021","Central Kootenay","2021A00035903","15 to 24 years","Total - Gender","Count","Driver with 1 or more workers","Commute to a different census subdivision (CSD) and census division (CD) within province or territory of residence","","0","units","0","","4591.2.1.1.6.4","10","","","","0"
"2021","Central Kootenay","2021A00035903","15 to 24 years","Total - Gender","Count","Passenger with 2 or more workers","Total - Commuting destination","","0","units","0","","4591.2.1.1.7.1","205","","","","0"
"2021","Central Kootenay","2021A00035903","15 to 24 years","Total - Gender","Count","Passenger with 2 or more workers","Commute within census subdivision (CSD) of residence","","0","units","0","","4591.2.1.1.7.2","45","","","","0"
"2021","Central Kootenay","2021A00035903","15 to 24 years","Total - Gender","Count","Passenger with 2 or more workers","Commute to a different census subdivision (CSD) within census division (CD) of residence","","0","units","0","","4591.2.1.1.7.3","130","","","","0"
"2021","Central Kootenay","2021A00035903","15 to 24 years","Total - Gender","Count","Passenger with 2 or more workers","Commute to a different census subdivision (CSD) and census division (CD) within province or territory of residence","","0","units","0","","4591.2.1.1.7.4","30","","","","0"
"2021","Central Kootenay","2021A00035903","15 to 24 years","Total - Gender","Count","Sustainable transportation","Total - Commuting destination","","0","units","0","","4591.2.1.1.8.1","470","","","","0"
"2021","Central Kootenay","2021A00035903","15 to 24 years","Total - Gender","Count","Sustainable transportation","Commute within census subdivision (CSD) of residence","","0","units","0","","4591.2.1.1.8.2","405","","","","0"
"2021","Central Kootenay","2021A00035903","15 to 24 years","Total - Gender","Count","Sustainable transportation","Commute to a different census subdivision (CSD) within census division (CD) of residence","","0","units","0","","4591.2.1.1.8.3","45","","","","0"
"2021","Central Kootenay","2021A00035903","15 to 24 years","Total - Gender","Count","Sustainable transportation","Commute to a different census subdivision (CSD) and census division (CD) within province or territory of residence","","0","units","0","","4591.2.1.1.8.4","15","","","","0"
"2021","Central Kootenay","2021A00035903","15 to 24 years","Total - Gender","Count","Public transit","Total - Commuting destination","","0","units","0","","4591.2.1.1.9.1","65","","","","0"
"2021","Central Kootenay","2021A00035903","15 to 24 years","Total - Gender","Count","Public transit","Commute within census subdivision (CSD) of residence","","0","units","0","","4591.2.1.1.9.2","40","","","","0"
"2021","Central Kootenay","2021A00035903","15 to 24 years","Total - Gender","Count","Public transit","Commute to a different census subdivision (CSD) within census division (CD) of residence","","0","units","0","","4591.2.1.1.9.3","20","","","","0"
"2021","Central Kootenay","2021A00035903","15 to 24 years","Total - Gender","Count","Active transportation","Total - Commuting destination","","0","units","0","","4591.2.1.1.10.1","400","","","","0"
"2021","Central Kootenay","2021A00035903","15 to 24 years","Total - Gender","Count","Active transportation","Commute within census subdivision (CSD) of residence","","0","units","0","","4591.2.1.1.10.2","365","","","","0"
"2021","Central Kootenay","2021A00035903","15 to 24 years","Total - Gender","Count","Active transportation","Commute to a different census subdivision (CSD) within census division (CD) of residence","","0","units","0","","4591.2.1.1.10.3","30","","","","0"
"2021","Central Kootenay","2021A00035903","15 to 24 years","Total - Gender","Count","Active transportation","Commute to a different census subdivision (CSD) and census division (CD) within province or territory of residence","","0","units","0","","4591.2.1.1.10.4","10","","","","0"
"2021","Central Kootenay","2021A00035903","15 to 24 years","Total - Gender","Count","Other method","Total - Commuting destination","","0","units","0","","4591.2.1.1.11.1","20","","","","0"
"2021","Central Kootenay","2021A00035903","15 to 24 years","Total - Gender","Count","Other method","Commute within census subdivision (CSD) of residence","","0","units","0","","4591.2.1.1.11.2","15","","","","0"
"2021","Kootenay Boundary","2021A00035905","15 to 24 years","Total - Gender","Count","Total - Main mode of commuting","Total - Commuting destination","","0","units","0","","4613.2.1.1.1.1","1120","","","","0"
"2021","Kootenay Boundary","2021A00035905","15 to 24 years","Total - Gender","Count","Total - Main mode of commuting","Commute within census subdivision (CSD) of residence","","0","units","0","","4613.2.1.1.1.2","515","","","","0"
"2021","Kootenay Boundary","2021A00035905","15 to 24 years","Total - Gender","Count","Total - Main mode of commuting","Commute to a different census subdivision (CSD) within census division (CD) of residence","","0","units","0","","4613.2.1.1.1.3","440","","","","0"
